,train_name,train_number,source,destination,distance,total_time,departure,arrival
677,Sriganganagar Delhi InterCity Express,12482,SHRI GANGANAGAR,OLD DELHI,424,0 days 07:45:00,05:55:00,13:40:00
678,AMRITSAR - KOCHUVELI SF Exp,12484,AMRITSAR JN,KOCHUVELI,3597,2 days 09:25:00,06:05:00,15:30:00
679,Bangalore-Hazrat Nizammudin Rajdhani Express,12493,BANGALORE CITY JN,DELHI H NIZAMUDDIN,2294,1 days 09:30:00,20:20:00,05:50:00
680,Hazrat Nizamuddin-Bangalore Rajdhani Express,12494,DELHI H NIZAMUDDIN,BANGALORE CITY JN,2383,1 days 09:50:00,20:50:00,06:40:00
681,GUWAHATI - NEW DELHI Poorvottar Sampark Kranti Exp,12501,GUWAHATI,NEW DELHI,1974,1 days 07:00:00,06:00:00,13:00:00
682,NEW DELHI - GUWAHATI Poorvottar Sampark Kranti Exp,12502,NEW DELHI,SILCHAR,1974,1 days 08:30:00,23:45:00,08:15:00
683,TRIVANDRUM - GUWAHATI SF Exp,12507,TRIVANDRUM CENTRAL,GUWAHATI,3331,2 days 10:50:00,21:05:00,07:55:00
684,GUWAHATI - TRIVANDRUM SF Exp,12508,GUWAHATI,TRIVANDRUM CENTRAL,3332,2 days 11:45:00,06:30:00,18:15:00
685,Rapti Sagar Express,12511,GORAKHPUR JN,TRIVANDRUM CENTRAL,3251,2 days 11:05:00,06:45:00,17:50:00
686,Rapti Sagar Expres,12512,TRIVANDRUM CENTRAL,GORAKHPUR JN,3251,2 days 09:40:00,05:30:00,15:10:00
687,GUWAHATI - SECUNDERABAD Exp,12514,GUWAHATI,SECUNDERABAD JN,2551,1 days 21:50:00,06:30:00,04:20:00
688,MUMBAI LTT - KAMAKHYA AC Exp,12519,LOKMANYA TILAK TERM,KAMAKHYA,1667,1 days 00:35:00,05:15:00,05:50:00
689,KAMAKHYA - MUMBAI LTT AC Exp,12520,KAMAKHYA,LOKMANYA TILAK TERM,1667,1 days 00:15:00,18:45:00,19:00:00
690,Raptisagar Express,12522,ERNAKULAM JN,BARAUNI JN,3441,2 days 12:40:00,10:10:00,22:50:00
691,Mumbai CST-Latur Superfast Express.,12527,MUMBAI CST,LATUR,530,0 days 09:30:00,21:00:00,06:30:00
692,Latur-Mumbai CST Superfast Express,12528,LATUR,MUMBAI CST,530,0 days 09:30:00,22:30:00,08:00:00
693,Lucknow-Raipur Garib Rath Express,12535,LUCKNOW JN,RAIPUR JN,917,0 days 16:35:00,14:40:00,07:15:00
694,Raipur-Lucknow Garib Rath,12536,RAIPUR JN,LUCKNOW JN,917,0 days 16:45:00,12:20:00,05:05:00
695,Bapudham Express,12537,BAPUDHAM MOTIHARI,MANDUADIH,465,0 days 08:20:00,21:40:00,06:00:00
696,Bapudham Express,12538,MANDUADIH,BAPUDHAM MOTIHARI,465,0 days 08:25:00,07:40:00,16:05:00
697,YESVANTPUR - LUCKNOW SF Exp,12539,YESVANTPUR JN,LUCKNOW,2554,1 days 22:00:00,10:50:00,08:50:00
698,LUCKNOW - YESVANTPUR SF Exp,12540,LUCKNOW,YESVANTPUR JN,2532,1 days 20:40:00,20:00:00,16:40:00
699,Gorakhpur-Mumbai LTT SF Express,12541,GORAKHPUR JN,LOKMANYA TILAK TERM,1680,1 days 06:25:00,21:35:00,04:00:00
700,Yesvantpur-Tirupati Tri Weekly Intercity,12543,YESVANTPUR JN,TIRUPATI MAIN,345,0 days 06:10:00,07:20:00,13:30:00
701,Tirupati-Yesvantpur Tri Weekly SF Intercity,12544,TIRUPATI MAIN,YESVANTPUR JN,345,0 days 06:05:00,14:50:00,20:55:00
702,DURG - JAMMU TAWI SF Exp,12549,DURG,JAMMU TAWI,1873,1 days 09:05:00,12:00:00,21:05:00
703,JAMMU TAWI - DURG SF Exp,12550,JAMMU TAWI,DURG,1873,1 days 09:20:00,05:00:00,14:20:00
704,Vaishali SF Express,12553,BARAUNI JN,NEW DELHI,1185,0 days 21:00:00,09:30:00,06:30:00
705,Chennai Beach Tambaram EMU(12 Car),40003,CHENNAI BEACH,TAMBARAM,33,0 days 00:54:00,06:00:00,06:54:00
706,Shan-e-Punjab Express,12498,AMRITSAR JN,NEW DELHI,448,0 days 07:35:00,15:10:00,22:45:00
707,GUWAHATI - DELHI ANAND VIHAR North East Exp,12505,GUWAHATI,ANAND VIHAR TRM,1866,1 days 09:30:00,09:45:00,19:15:00
708,DELHI ANAND VIHAR - GUWAHATI North East Exp,12506,ANAND VIHAR TRM,GUWAHATI,1867,1 days 09:50:00,06:50:00,16:40:00
709,BENGALURU - GUWAHATI (Kaziranga) SF Express,12509,BANGALORE CANT,GUWAHATI,2992,2 days 06:20:00,23:30:00,05:50:00
710,GUWAHATI - BENGALURU (Kaziranga) SF Express,12510,GUWAHATI,BANGALORE CITY JN,2992,2 days 05:20:00,06:30:00,11:50:00
711,RIVANDRUM - GUWAHATI Exp,12515,TRIVANDRUM CENTRAL,GUWAHATI,3552,2 days 17:00:00,12:50:00,05:50:00
712,GUWAHATI - TRIVANDRUM CENTRAL EXP,12516,GUWAHATI,TRIVANDRUM CENTRAL,3552,2 days 16:25:00,06:30:00,22:55:00
713,KOLKATA - GUWAHATI Garib Rath Exp,12517,KOLKATA CHITPUR,GUWAHATI,1027,0 days 18:00:00,21:40:00,15:40:00
714,GUWAHATI - KOLKATA Garib Rath Exp,12518,GUWAHATI,KOLKATA CHITPUR,1027,0 days 18:00:00,21:00:00,15:00:00
715,Raptisagar Express,12521,BARAUNI JN,ERNAKULAM JN,3441,2 days 14:20:00,23:00:00,13:20:00
716,New Jalpaiguri-New Delhi Superfast Express,12523,NEW JALPAIGURI,NEW DELHI,1500,1 days 03:55:00,08:15:00,12:10:00
717,New Delhi New Jalpaiguri SuperFast Express,12524,NEW DELHI,NEW JALPAIGURI,1497,1 days 03:25:00,15:10:00,18:35:00
718,Indrayani SF Express,12525,MUMBAI CST,PUNE JN,192,0 days 03:28:00,05:40:00,09:08:00
719,Indrayani SF Express,12526,PUNE JN,MUMBAI CST,192,0 days 03:20:00,18:35:00,21:55:00
720,Bhopal-Jabalpur Intercity Express,12529,HABIBGANJ,JABALPUR,331,0 days 05:20:00,05:30:00,10:50:00
721,Jabalpur-Bhopal Intercity,12530,JABALPUR,HABIBGANJ,331,0 days 05:55:00,16:10:00,22:05:00
722,Gorakhpur Lucknow InterCity Express,12531,GORAKHPUR JN,LUCKNOW JN,279,0 days 04:55:00,06:05:00,11:00:00
723,Lucknow Gorakhpur Inter City Express,12532,LUCKNOW JN,GORAKHPUR JN,279,0 days 04:55:00,16:35:00,21:30:00
724,Pushpak Express,12533,LUCKNOW JN,MUMBAI CST,1426,1 days 00:20:00,19:45:00,20:05:00
725,Pushpak Express,12534,MUMBAI CST,LUCKNOW JN,1426,1 days 00:20:00,08:20:00,08:40:00
726,RAXAUL - MUMBAI LTT Karmabhoomi Exp,12545,RAXAUL JN,LOKMANYA TILAK TERM,1963,1 days 09:40:00,20:35:00,06:15:00
727,Agra Fort Ahmedabad Tri Weekly Express,12547,AGRA FORT,AHMEDABAD JN,867,0 days 15:10:00,22:25:00,13:35:00
728,Ahmedabad-Agra Fort Express,12548,AHMEDABAD JN,AGRA FORT,867,0 days 15:15:00,16:55:00,08:10:00
729,Vaishali SF Express,12554,NEW DELHI,BARAUNI JN,1185,0 days 21:25:00,19:50:00,17:15:00
730,Sapt Kranti SF Express,12557,MUZAFFARPUR JN,ANAND VIHAR TRM,1060,0 days 18:55:00,09:10:00,04:05:00
731,Sapt Kranti SF Express,12558,ANAND VIHAR TRM,MUZAFFARPUR JN,1060,0 days 19:35:00,14:50:00,10:25:00
732,Jaynagar-Delhi AnandViharT Garib Rath,12569,JAYNAGAR,ANAND VIHAR TRM,1252,0 days 20:15:00,12:10:00,08:25:00
733,Anand Vihar Terminus-Jaynagar Garib Rath Express,12570,ANAND VIHAR TRM,JAYNAGAR,1252,0 days 20:30:00,17:00:00,13:30:00
734,Howrah Prasanti Nilayam SF Express,12571,HOWRAH JN,SATYA SAI P NILAYAM,1763,1 days 06:35:00,15:50:00,22:25:00
735,Prashanti Nilayam Howrah SF Express,12572,SATYA SAI P NILAYAM,HOWRAH JN,1763,1 days 07:00:00,07:50:00,14:50:00
736,SainagarShirdi-Howrah Express,12573,SAINAGAR SHIRDI,HOWRAH JN,1792,1 days 05:35:00,13:55:00,19:30:00
737,DARBHANGA - MYSORE BAGMATI SF Exp,12577,DARBHANGA JN,MYSORE JN,2910,2 days 04:40:00,16:15:00,20:55:00
738,MYSORE - DARBHANGA BAGMATI SF Exp,12578,MYSORE JN,DARBHANGA JN,2910,2 days 04:05:00,10:10:00,14:15:00
739,Digha- Puri SamudraKanya Express,12579,Digha Flag Station,PURI,549,0 days 10:05:00,17:15:00,03:20:00
740,Pune Bhubaneshwar Express,12581,PUNE JN,BHUBANESWAR,1689,1 days 06:20:00,11:15:00,17:35:00
741,Bhubaneshwar-Pune Express,12582,BHUBANESWAR,PUNE JN,1689,1 days 06:45:00,22:15:00,05:00:00
742,LUCKNOW - DELHI ANAND VIHAR T DOUBLE DECKER,12583,LUCKNOW JN,ANAND VIHAR TRM,2071,1 days 14:35:00,19:40:00,10:15:00
743,DELHI ANAND VIHAR T - LUCKNOW DOUBLE DECKER,12584,ANAND VIHAR TRM,LUCKNOW JN,2071,1 days 14:25:00,05:25:00,19:50:00
744,YESVANTPUR - GORAKHPUR SF Exp,12592,YESVANTPUR JN,GORAKHPUR JN,2529,1 days 22:20:00,16:50:00,15:10:00
745,Lucknow-Bhopal Garib Rath,12593,LUCKNOW JN,BHOPAL JN,585,0 days 10:50:00,22:45:00,09:35:00
746,Bhopal-Lucknow Garib Rath Express,12594,BHOPAL JN,LUCKNOW JN,585,0 days 11:00:00,22:45:00,09:45:00
747,Pallavan Superfast Express,12605,CHENNAI EGMORE,TIRUCHIRAPPALLI,336,0 days 05:35:00,15:45:00,21:20:00
748,Pallavan Superfast Express,12606,TIRUCHIRAPPALLI,CHENNAI EGMORE,336,0 days 05:35:00,06:30:00,12:05:00
749,CHENNAI CENTRAL - BANGALORE Lalbagh Exp,12607,CHENNAI CENTRAL,BANGALORE CITY JN,358,0 days 06:00:00,15:35:00,21:35:00
750,BANGALORE - CHENNAI CENTRAL Lalbagh Exp,12608,BANGALORE CITY JN,CHENNAI CENTRAL,362,0 days 05:45:00,06:30:00,12:15:00
751,CHENNAI CENT - BANGALORE SF Intercity Exp,12609,CHENNAI CENTRAL,BANGALORE CITY JN,362,0 days 06:30:00,13:35:00,20:05:00
752,Chennai Beach Tambaram EMU(12 Car),40009,CHENNAI BEACH,TAMBARAM,33,0 days 00:55:00,07:22:00,08:17:00
753,Gorakhdham Express,12556,Hisar,GORAKHPUR JN,962,0 days 17:25:00,16:35:00,10:00:00
754,Shiv Ganga Express,12559,VARANASI JN,NEW DELHI,758,0 days 12:25:00,19:15:00,07:40:00
755,Shiv Ganga Express,12560,NEW DELHI,VARANASI JN,758,0 days 12:45:00,18:45:00,07:30:00
756,Swatantrata Sainani Express,12562,NEW DELHI,DARBHANGA JN,1166,0 days 21:25:00,20:40:00,18:05:00
757,Mumbai LTT - Faizabad SF Express,12563,LOKMANYA TILAK TERM,FAIZABAD JN,1600,1 days 03:10:00,14:30:00,17:40:00
758,Faizabad-Mumbai LTT SF Express,12564,FAIZABAD JN,LOKMANYA TILAK TERM,1600,1 days 05:05:00,23:55:00,05:00:00
759,Bihar Sampark Kranti Express,12565,DARBHANGA JN,NEW DELHI,1172,0 days 20:55:00,08:35:00,05:30:00
760,Bihar Sampark Kranti Express,12566,NEW DELHI,DARBHANGA JN,1172,0 days 20:55:00,14:30:00,11:25:00
761,Kharagpur Purulia Express,12575,KHARAGPUR JN,PURULIA JN,208,0 days 04:00:00,07:25:00,11:25:00
762,Purulia Khargapur Intercity Express,12576,PURULIA JN,KHARAGPUR JN,208,0 days 03:55:00,11:55:00,15:50:00
763,Amarnath Express,12587,GORAKHPUR JN,JAMMU TAWI,1248,0 days 22:15:00,14:05:00,12:20:00
764,Amarnath Express,12588,JAMMU TAWI,GORAKHPUR JN,1248,0 days 22:05:00,22:45:00,20:50:00
765,Gorakhpur-Secunderabad Express,12589,GORAKHPUR JN,SECUNDERABAD JN,1827,1 days 08:25:00,06:45:00,15:10:00
766,Secunderabad - Gorakhpur Express,12590,SECUNDERABAD JN,GORAKHPUR JN,1827,1 days 07:50:00,07:20:00,15:10:00
767,Chennai Mangalore Mail,12601,CHENNAI CENTRAL,MANGALORE CNTL,889,0 days 16:00:00,20:25:00,12:25:00
768,Chennai Mail,12602,MANGALORE CNTL,CHENNAI CENTRAL,889,0 days 16:10:00,13:15:00,05:25:00
769,Chennai - Hyderabad Express,12603,CHENNAI CENTRAL,HYDERABAD DECCAN,715,0 days 13:00:00,16:45:00,05:45:00
770,Hyderabad - Chennai Express,12604,HYDERABAD DECCAN,CHENNAI CENTRAL,715,0 days 13:00:00,16:55:00,05:55:00
771,Chennai Central-H.Nizamuddin Garib Rath Express,12611,CHENNAI CENTRAL,DELHI H NIZAMUDDIN,2177,1 days 04:10:00,06:10:00,10:20:00
772,H Nizamuddin-Chennai Garib Rath Express,12612,DELHI H NIZAMUDDIN,CHENNAI CENTRAL,2176,1 days 04:15:00,16:00:00,20:15:00
773,Tippu Express,12613,MYSORE JN,BANGALORE CITY JN,139,0 days 02:30:00,11:00:00,13:30:00
774,Tippu Express,12614,BANGALORE CITY JN,MYSORE JN,139,0 days 02:30:00,15:00:00,17:30:00
775,GrandTrunk Express,12616,NEW DELHI,CHENNAI CENTRAL,2184,1 days 11:35:00,18:40:00,06:15:00
776,MANGALORE CENT - MUMBAI LTT Matsyagandha Exp,12620,MANGALORE CNTL,LOKMANYA TILAK TERM,1186,0 days 15:55:00,14:40:00,06:35:00
777,Tamil Nadu Express,12622,NEW DELHI,CHENNAI CENTRAL,2184,1 days 08:45:00,22:30:00,07:15:00
778,Chennai Tiruvananthapuram SF Mail,12623,CHENNAI CENTRAL,TRIVANDRUM CENTRAL,909,0 days 15:40:00,19:45:00,11:25:00
779,Kerala Express,12625,TRIVANDRUM CENTRAL,NEW DELHI,3036,2 days 02:25:00,11:15:00,13:40:00
780,Kerala Express,12626,NEW DELHI,TRIVANDRUM CENTRAL,3036,2 days 03:05:00,11:30:00,14:35:00
781,Karnataka Express,12628,NEW DELHI,BANGALORE CITY JN,2406,1 days 16:25:00,21:15:00,13:40:00
782,Karnataka Sampark Kranti Express,12629,YESVANTPUR JN,DELHI H NIZAMUDDIN,2610,1 days 20:25:00,12:50:00,09:15:00
783,Karnataka Sampark Kranti Express,12630,DELHI H NIZAMUDDIN,YESVANTPUR JN,2610,1 days 21:45:00,08:55:00,06:40:00
784,CHENNAI EGMORE - MADURAI Vaigai SF Exp,12635,CHENNAI EGMORE,MADURAI JN,497,0 days 08:05:00,12:45:00,20:50:00
785,CHENNAI EGMORE - MADURAI Pandiyan SF Exp,12637,CHENNAI EGMORE,MADURAI JN,497,0 days 09:00:00,21:15:00,06:15:00
786,MADURAI - CHENNAI EGMORE Pandiyan SF Exp,12638,MADURAI JN,CHENNAI EGMORE,497,0 days 09:00:00,20:35:00,05:35:00
787,BANGALORE - CHENNAI CENT Brindavan Exp,12640,BANGALORE CITY JN,CHENNAI CENTRAL,362,0 days 05:55:00,14:30:00,20:25:00
788,Swarna Jayanthi Express,12643,TRIVANDRUM CENTRAL,DELHI H NIZAMUDDIN,3014,2 days 02:45:00,14:20:00,17:05:00
789,Swarna Jayanti Express,12644,DELHI H NIZAMUDDIN,TRIVANDRUM CENTRAL,3014,2 days 05:10:00,06:00:00,11:10:00
790,Karnataka Sampark Kranti Express,12649,YESVANTPUR JN,DELHI H NIZAMUDDIN,2277,1 days 11:05:00,22:10:00,09:15:00
791,Karnataka Sampark Kranti Express,12650,DELHI H NIZAMUDDIN,YESVANTPUR JN,2276,1 days 12:15:00,06:45:00,19:00:00
792,MADURAI - DELHI H NIZAMUDDIN Tamil Nadu S Kranti,12651,MADURAI JN,DELHI H NIZAMUDDIN,2677,1 days 18:05:00,23:55:00,18:00:00
793,Mangalore Tiruchirappalli Weekly Superfast Express,12654,MANGALORE CNTL,TIRUCHIRAPPALLI,635,0 days 11:30:00,20:45:00,08:15:00
794,CHENNAI - BANGALORE Mail,12657,CHENNAI CENTRAL,BANGALORE CITY JN,362,0 days 05:55:00,23:15:00,05:10:00
795,BANGALORE - CHENNAI Mail,12658,BANGALORE CITY JN,CHENNAI CENTRAL,362,0 days 05:55:00,22:45:00,04:40:00
796,SENGOTTAI - CHENNAI EGMORE Pothigai SF Exp,12662,SENGOTTAI,CHENNAI EGMORE,670,0 days 12:05:00,19:00:00,07:05:00
797,Tiruchirappalli-Howrah Express,12664,TIRUCHIRAPPALLI,HOWRAH JN,2025,1 days 11:20:00,16:00:00,03:20:00
798,Jorhat Town InterCity Express,15605,GUWAHATI,MARIANI JN,405,0 days 11:00:00,22:30:00,09:30:00
799,Chennai Beach Tambaram EMU(12 Car),40011,CHENNAI BEACH,TAMBARAM,33,0 days 00:55:00,07:30:00,08:25:00
800,ERNAKULAM - NEW DELHI H NIZAMUDDIN Mangala Lakshadweep Exp,12617,ERNAKULAM JN,DELHI H NIZAMUDDIN,3067,2 days 00:00:00,13:10:00,13:10:00
801,NEW DELHI H NIZAMUDDIN - ERNAKULAM Mangala Lakshadweep Exp,12618,DELHI H NIZAMUDDIN,ERNAKULAM JN,3067,2 days 00:40:00,09:20:00,10:00:00
802,Tamil Nadu Express,12621,CHENNAI CENTRAL,NEW DELHI,2184,1 days 09:00:00,22:00:00,07:00:00
803,Karnataka Express,12627,BANGALORE CITY JN,NEW DELHI,2406,1 days 15:15:00,19:20:00,10:35:00
804,CHENNAI EGMORE - TIRUNELVELI Nellai SF Exp,12631,CHENNAI EGMORE,TIRUNELVELI,653,0 days 11:40:00,20:50:00,08:30:00
805,TIRUNELVELI - CHENNAI EGMORE Nellai SF Exp,12632,TIRUNELVELI,CHENNAI EGMORE,653,0 days 11:50:00,18:50:00,06:40:00
806,KANNIYAKUMARI - CHENNAI EGMORE SF Exp,12634,KANYAKUMARI,CHENNAI EGMORE,742,0 days 13:30:00,17:20:00,06:50:00
807,CHENNAI CENT - BANGALORE Brindavan Exp,12639,CHENNAI CENTRAL,BANGALORE CITY JN,362,0 days 06:05:00,07:15:00,13:20:00
808,D H NIZAMUDDIN - KANYAKUMARI Thirukkural Exp,12642,DELHI H NIZAMUDDIN,KANYAKUMARI,2919,2 days 02:45:00,06:00:00,08:45:00
809,Millennium Expres,12645,ERNAKULAM JN,DELHI H NIZAMUDDIN,2809,1 days 22:10:00,18:55:00,17:05:00
810,Millennium Express,12646,DELHI H NIZAMUDDIN,ERNAKULAM JN,2809,2 days 00:00:00,06:00:00,06:00:00
811,Kongu Express,12647,COIMBATORE JN,DELHI H NIZAMUDDIN,2671,1 days 23:00:00,15:15:00,14:15:00
812,Kongu Express,12648,DELHI H NIZAMUDDIN,COIMBATORE JN,2671,2 days 00:50:00,08:40:00,09:30:00
813,Navjeevan Express,12655,AHMEDABAD JN,CHENNAI CENTRAL,1893,1 days 09:35:00,06:30:00,16:05:00
814,Navajivan Express,12656,CHENNAI CENTRAL,AHMEDABAD JN,1893,1 days 09:35:00,09:35:00,19:10:00
815,Gurudev Express,12659,NAGERCOIL JN,KOLKATA SHALIMAR,2583,1 days 23:15:00,14:35:00,13:50:00
816,Shalimar-Nagercoil Gurudev Express,12660,KOLKATA SHALIMAR,NAGERCOIL JN,2583,1 days 23:00:00,23:00:00,22:00:00
817,CHENNAI EGMORE - NAGERCOIL SF Exp,12667,CHENNAI EGMORE,NAGERCOIL JN,727,0 days 13:20:00,18:50:00,08:10:00
818,NAGERCOIL - CHENNAI EGMORE SF Exp,12668,NAGERCOIL JN,CHENNAI EGMORE,727,0 days 12:55:00,17:05:00,06:00:00
819,Cheran Express,12673,CHENNAI CENTRAL,COIMBATORE JN,497,0 days 08:00:00,22:10:00,06:10:00
820,Cheran Express,12674,COIMBATORE JN,CHENNAI CENTRAL,497,0 days 08:15:00,22:20:00,06:35:00
821,Kovai Express,12675,CHENNAI CENTRAL,COIMBATORE JN,497,0 days 07:40:00,06:15:00,13:55:00
822,Kovai Express,12676,COIMBATORE JN,CHENNAI CENTRAL,497,0 days 07:20:00,14:20:00,21:40:00
823,Bangalore City - Ernakulam Intercity SF Express,12677,BANGALORE CITY JN,ERNAKULAM JN,587,0 days 10:40:00,06:15:00,16:55:00
824,Ernakulam-BangaloreCity Intercity Express,12678,ERNAKULAM JN,BANGALORE CITY JN,587,0 days 10:40:00,09:10:00,19:50:00
825,ChennaiCentral-Coimbatore InterCity,12679,CHENNAI CENTRAL,COIMBATORE JN,497,0 days 07:45:00,14:30:00,22:15:00
826,Coimbatore-Chennai Central InterCity SF Express,12680,COIMBATORE JN,CHENNAI CENTRAL,497,0 days 07:35:00,06:15:00,13:50:00
827,Chennai-Coimbatore Express,12681,CHENNAI CENTRAL,COIMBATORE JN,497,0 days 08:20:00,22:30:00,06:50:00
828,Coimbatore-Chennai Express,12682,COIMBATORE JN,CHENNAI CENTRAL,497,0 days 08:00:00,23:45:00,07:45:00
829,ERNAKULAM - BANGALORE SF Exp,12683,ERNAKULAM JN,BANGALORE CITY JN,625,0 days 11:20:00,17:00:00,04:20:00
830,Chennai-Trivandrum SuperFast Express,12695,CHENNAI CENTRAL,TRIVANDRUM CENTRAL,922,0 days 16:15:00,15:25:00,07:40:00
831,Trivandrum-Chennai Superfast Express,12696,TRIVANDRUM CENTRAL,CHENNAI CENTRAL,922,0 days 16:40:00,17:10:00,09:50:00
832,Chennai-Thiruvananthapuram Express,12697,CHENNAI CENTRAL,TRIVANDRUM CENTRAL,909,0 days 15:20:00,15:15:00,06:35:00
833,Thiruvananthapuram Central Chennai Central weekly express,12698,TRIVANDRUM CENTRAL,CHENNAI CENTRAL,909,0 days 16:15:00,20:10:00,12:25:00
834,Hussain Sagar Express,12701,MUMBAI CST,HYDERABAD DECCAN,790,0 days 14:20:00,21:50:00,12:10:00
835,Hussain Sagar Express,12702,HYDERABAD DECCAN,MUMBAI CST,790,0 days 14:20:00,14:45:00,05:05:00
836,Howrah - Secunderabad Falaknuma SF Express,12703,HOWRAH JN,SECUNDERABAD JN,1545,1 days 02:10:00,07:25:00,09:35:00
837,Falaknuma Express,12704,SECUNDERABAD JN,HOWRAH JN,1545,1 days 01:45:00,16:00:00,17:45:00
838,Andhra Pradesh Sampark Kranti Express,12707,TIRUPATI MAIN,DELHI H NIZAMUDDIN,2302,1 days 12:15:00,05:45:00,18:00:00
839,Andhra Pradesh Sampark Kranti Express,12708,DELHI H NIZAMUDDIN,TIRUPATI MAIN,2302,1 days 14:10:00,07:25:00,21:35:00
840,Simhapuri SF Express,12710,SECUNDERABAD JN,GUDUR JN,644,0 days 10:20:00,22:30:00,08:50:00
841,Pinakini Express,12711,VIJAYAWADA JN,CHENNAI CENTRAL,431,0 days 07:00:00,06:00:00,13:00:00
842,Pinakini Express,12712,CHENNAI CENTRAL,VIJAYAWADA JN,431,0 days 07:05:00,14:05:00,21:10:00
843,Satavahana Express,12714,SECUNDERABAD JN,VIJAYAWADA JN,351,0 days 05:35:00,16:15:00,21:50:00
844,Sachkhand SF Express,12715,HUZUR SAHIB NANDED,AMRITSAR JN,2081,1 days 10:45:00,09:30:00,20:15:00
845,Mariani-Guwahati Intercity Express,15718,MARIANI JN,GUWAHATI,404,0 days 10:15:00,03:30:00,13:45:00
846,Chennai Beach Tambaram EMU(12 Car),40015,CHENNAI BEACH,TAMBARAM,33,0 days 00:55:00,07:57:00,08:52:00
847,PATHANKOT - JOGINDER NAGAR PASSENGER,52473,PATHANKOT,JOGINDER NAGAR,170,0 days 09:45:00,10:00:00,19:45:00
848,KANYAKUMARI - KOL HOWRAH Weekly Exp,12666,KANYAKUMARI,HOWRAH JN,2431,1 days 19:30:00,07:50:00,03:20:00
849,CHENNAI CENTRAL - CHHAPRA Ganga Kaveri Exp,12669,CHENNAI CENTRAL,CHHAPRA,2343,1 days 18:05:00,17:35:00,11:40:00
850,CHHAPRA - CHENNAI CENTRAL Ganga Kaveri Exp,12670,CHHAPRA,CHENNAI CENTRAL,2343,1 days 17:25:00,21:00:00,14:25:00
851,Nilgiri (Blue Mountain) Express,12671,CHENNAI CENTRAL,Mettupalayam,532,0 days 09:15:00,21:00:00,06:15:00
852,Nilgiri (Blue Mountain) Express,12672,Mettupalayam,CHENNAI CENTRAL,532,0 days 09:20:00,19:45:00,05:05:00
853,Chennai - Mangalore Express,12685,CHENNAI CENTRAL,MANGALORE CNTL,889,0 days 16:05:00,17:00:00,09:05:00
854,Mangalore - Chennai Express,12686,MANGALORE CNTL,CHENNAI CENTRAL,889,0 days 15:50:00,16:10:00,08:00:00
855,Chennai Dehradun Express,12687,CHENNAI CENTRAL,DEHRADUN,2488,1 days 19:15:00,09:45:00,05:00:00
856,Dehradun Chennai Express,12688,DEHRADUN,CHENNAI CENTRAL,2488,1 days 18:55:00,07:20:00,02:15:00
857,NAGERCOIL - CHENNAI SF Exp,12690,NAGERCOIL JN,CHENNAI CENTRAL,927,0 days 16:45:00,19:40:00,12:25:00
858,CHENNAI - SSP NILAYAM SF Exp,12691,CHENNAI CENTRAL,SATYA SAI P NILAYAM,529,0 days 09:50:00,23:30:00,09:20:00
859,SSP NILAYAM - CHENNAI SF Exp,12692,SATYA SAI P NILAYAM,CHENNAI CENTRAL,529,0 days 10:30:00,18:45:00,05:15:00
860,CHENNAI EGMORE - TUTICORIN Pearl City SF Exp,12693,CHENNAI EGMORE,TUTICORIN,656,0 days 11:55:00,19:35:00,07:30:00
861,TUTICORIN - CHENNAI EGMORE Pearl City SF Exp,12694,TUTICORIN,CHENNAI EGMORE,656,0 days 11:55:00,19:45:00,07:40:00
862,Guntur-Secunderabad SF Intercity,12705,GUNTUR JN,SECUNDERABAD JN,383,0 days 06:50:00,15:00:00,21:50:00
863,Secunderabad-Guntur SF Intercity,12706,SECUNDERABAD JN,GUNTUR JN,383,0 days 06:45:00,07:40:00,14:25:00
864,Sachkhand SF Express,12716,AMRITSAR JN,HUZUR SAHIB NANDED,2081,1 days 10:10:00,05:40:00,15:50:00
865,AJMER - HYDERABAD DECCAN SF Exp,12719,AJMER JN,HYDERABAD DECCAN,1711,1 days 06:50:00,17:40:00,00:30:00
866,HYDERABAD DECCAN - AJMER SF Exp,12720,HYDERABAD DECCAN,AJMER JN,1711,1 days 06:35:00,20:30:00,03:05:00
867,Siddhaganga Intercity Express,12725,BANGALORE CITY JN,DHARWAR,490,0 days 08:50:00,13:00:00,21:50:00
868,Siddhaganga InterCity Express,12726,DHARWAR,BANGALORE CITY JN,490,0 days 08:50:00,05:15:00,14:05:00
869,Tirupati-Secunderabad Express,12731,TIRUPATI MAIN,SECUNDERABAD JN,801,0 days 14:15:00,16:45:00,07:00:00
870,Secunderabad-Tirupati Express,12732,SECUNDERABAD JN,TIRUPATI MAIN,801,0 days 14:30:00,19:00:00,09:30:00
871,Narayanadri Express,12733,TIRUPATI MAIN,SECUNDERABAD JN,661,0 days 12:00:00,18:25:00,06:25:00
872,Narayanadri Express,12734,SECUNDERABAD JN,TIRUPATI MAIN,661,0 days 12:00:00,18:05:00,06:05:00
873,Gowthami SF Express,12737,Kakinada Port,SECUNDERABAD JN,566,0 days 10:15:00,20:20:00,06:35:00
874,Secunderabad - Kakinada Gowthami SF Express,12738,SECUNDERABAD JN,Kakinada Port,566,0 days 10:15:00,21:15:00,07:30:00
875,Secunderabad-Visakhapatnam Garib Rath,12740,SECUNDERABAD JN,VISHAKAPATNAM,701,0 days 11:15:00,20:15:00,07:30:00
